Team,Demo 1,TRL 1,Demo 2,TRL 2,Demo 3,TRL 3,Demo 4,TRL 4,Demo 5,TRL 5
DICE,Demo 6,9,Demo 7,3,Demo 8,8,Demo 9,9,Demo 10,6
MagCIL,Demo 1,2,Demo 2,4,Demo 3,1,Demo 4,6,Demo 11,5
BioHIT,Demo 5,2,Demo 12,5,Demo 13,2,Demo 14,8,Demo 15,8
CAKT,Demo 16,1,Demo 17,1,Demo 18,2,Demo 19,6,Demo 20,8
CER,Demo 21,8,Demo 22,8,Demo 23,7,Demo 24,9,Demo 25,2
DIA,Demo 26,2,Demo 27,6,Demo 28,3,Demo 29,8,Demo 30,2
KMU,Demo 31,6,Demo 32,3,Demo 33,6,Demo 34,9,Demo 35,2
RoboSKEL,Demo 36,7,Demo 37,3,Demo 38,1,Demo 39,8,Demo 40,4
AI Politeia,Demo 41,4,Demo 42,5,Demo 43,3,Demo 44,8,Demo 45,8
ARTIFACT,Demo 46,1,Demo 47,5,Demo 48,2,Demo 49,7,Demo 50,9
INSANE,Demo 51,5,Demo 52,1,Demo 53,9,Demo 54,8,Demo 55,2
ID-IS,Demo 56,5,Demo 57,3,Demo 58,3,Demo 59,5,Demo 60,1
DEG,Demo 61,6,Demo 62,5,Demo 63,5,Demo 64,7,Demo 65,8
ISL,Demo 66,4,Demo 67,7,Demo 68,5,Demo 69,7,Demo 70,4
