Team,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6
DICE,M&A,Financial Classification,Customer Comms,Decision Support,Predictive Modeling,Knowledge Extraction
MagCIL,Music Information Retrieval,Automatic SR,Audio Classification,API,,
BioHIT,Open Data Analysis Platform,Open Data Graph,Web Browser,KG Link Predictor,BioASQ Infrastructure,In-silico DMD Platform
CAKT,,,,,,
CER,Maritime Situational Awareness,Public Space Surveillence,Vehicle Fleet Management,Credit Card Fraud,E-Commerce and Voting Procedures,
DIA,Document Processing,Word Recognition,Image Metdata Extraction,Logo and Text Detection,,
KMU,Healthcare Applications,Quantum Computing,,,,
RoboSKEL,,,,,,
AI Politeia,,,,,,
ARTIFACT,Aylon Lyceum,Aylon Twins,,,,
INSANE,Structural Health Monitoring,Separation Membranes,Gas Emission Mitigation,ML Design of High Pressure Vessels,Drug Delivery,
ID-IS,,,,,,
DEG,KOBE,ByOcode,Semagrow,SPREFQL,,
ISL,TREEAD,C2I Tools,MSDAC,iCrows,,
